Appearance,count
" ('want', 'thank')",12
" ('want', 'thank')",12
" ('hillari', 'clinton')",20
" ('(', 'applaus')",8
" ('question', '",
" ('donald', 'trump')",13
" ('take', 'care')",21
" ('year', 'ago')",12
" ('(', 'applaus')",20
" ('donald', 'trump')",15
" ('hillari', 'clinton')",23
" ('new', 'york')",10
" ('e', 'mail')",15
" ('go', 'win')",16
" ('radic', 'islam')",13
" ('african', 'american')",15
" ('hanniti', '",
" ('hillari', 'clinton')",20
" ('hillari', 'clinton')",21
" ('hillari', 'clinton')",25
" ('audienc', 'boo')",31
" ('hillari', 'clinton')",23
" ('hillari', 'clinton')",16
" ('hillari', 'clinton')",21
" ('hillari', 'clinton')",16
" ('illeg', 'immigr')",25
" ('hillari', 'clinton')",10
" ('american', 'legion')",6
" ('flynn', '",
" ('hillari', 'clinton')",20
" ('hillari', 'clinton')",12
" ('new', 'york')",23
" ('school', 'choic')",16
" ('hillari', 'clinton')",14
" ('new', 'york')",5
" ('hillari', 'clinton')",14
" ('unknown', '",
" ('hillari', 'clinton')",17
" ('build', 'wall')",9
" ('child', 'care')",16
" ('build', 'wall')",9
" ('audienc', '",
" ('(', 'applaus')",10
" ('hillari', 'clinton')",17
" ('hillari', 'clinton')",33
" ('question', '",
" ('hillari', 'clinton')",19
" ('hillari', 'clinton')",16
" ('carr', '",
" ('hillari', 'clinton')",37
" ('applaus', 'go')",21
" ('hillari', 'clinton')",20
" ('audienc', '",
" ('hillari', 'clinton')",10
" ('hillari', 'clinton')",13
" ('applaus', 'go')",13
" ('audienc', '",
" ('applaus', 'go')",10
" ('hanniti', '",
" ('north', 'carolina')",10
" ('audienc', '",
" ('applaus', 'go')",11
" ('new', 'hampshir')",29
" ('hillari', 'clinton')",10
" ('make', 'america')",9
" ('health', 'care')",11
" ('e', 'mail')",11
" ('audienc', '",
" ('go', 'win')",6
" ('audienc', '",
" ('hillari', 'clinton')",19
" ('new', 'hampshir')",19
" ('cheer', 'applaus')",87
" ('hillari', 'clinton')",11
" ('usa', '!')",14
" ('cheer', 'applaus')",108
" ('hillari', 'clinton')",13
" ('hillari', 'clinton')",11
" ('audienc', '",
" ('hillari', 'clinton')",9
" ('new', 'hampshir')",22
" ('hillari', 'clinton')",8
" ('thank', 'much')",6
